,score
Iqgap2,31.06502858313733
Btf3,30.998382154078143
Minos1,30.99562757118041
Klb,30.940541420144555
Tpp1,30.90651926840903
Soat1,30.858595062978026
Cnn3,30.823966650754063
Tmem82,30.802092586052026
mt-Nd1,30.748959133622186
Xlr4b,30.74061298518934
Carhsp1,30.72363657623322
Aass,30.62130966680696
Slco4c1,30.61443179726337
Rps14,30.58917366940396
Rps15,30.562907152104295
Cul7,30.54454486639414
Lpgat1,30.486123561626528
Gab1,30.480681659248557
Actn4,30.458049360425285
Ambp,30.338193536865248
S100a13,30.295455458464755
Vps29,30.25272629013029
Edf1,30.212490231826052
Pepd,30.192852516613193
Prtg,30.131010450690685
Srsf3,30.089001764879153
Uqcrh,30.029303780514116
Pdpn,29.89876124211137
Mest,29.83441485307435
Basp1,29.831774613762562
Trip12,29.79409742210761
Pafah2,29.78597037303675
Cideb,29.73649509004479
Lsr,29.609133328807793
Marcks,29.59665549566072
Lect2,29.57576570369951
Slc3a2,29.53579983607521
Pttg1ip,29.473153020839447
Rpl24,29.41295446402058
Irf6,29.31390376789504
Scarb1,29.281767486014388
Rbmxl1,29.168496632744425
Surf4,29.138879481510184
Plekhf2,29.125089233701306
Tmem97,29.095985601403363
F10,29.066804073793914
Apex1,28.968661195155832
Eif1,28.858859098639794
Mdk,28.845055933048602
mt-Cytb,28.8444893013165
Bri3,28.812145405549007
Dad1,28.7975479305102
Aldh18a1,28.794089718284674
Cnbp,28.75917934223796
Mif,28.71560830564175
Tlcd1,28.70773192537191
Sgpl1,28.69531670493249
Hkdc1,28.67237527204538
Pdap1,28.572063587664964
Dnajc3,28.538056192524472
Rpl22l1,28.4456194515251
Mirg,28.428111618647204
Ihh,28.41825330053036
Sumo1,28.411290808072135
Atp6v1f,28.393981730324864
Erich4,28.365147504525282
Hspb1,28.358220889067827
mt-Nd2,28.34270527997242
Tnks2,28.313856053508626
Dctpp1,28.285420154854762
0610040J01Rik,28.279703336754284
Tuba1c,28.126625154482564
Grn,28.006572173524354
Myo5b,27.97772612276953
Ppp1r21,27.967952415916116
Tmem160,27.946858040580494
Arl3,27.913602851075577
Pcdh1,27.877153154757732
Net1,27.85721679442705
Ifi27l2b,27.8500562444727
Depdc7,27.843806311767782
Mcoln2,27.843719443667577
Nfe2l2,27.819716664106544
Fcgrt,27.76875283308172
Abcd3,27.74827765246739
Snx27,27.637860108157152
Akr7a5,27.631786498931376
Sptbn1,27.627357758949486
Cep170b,27.6136450573467
Clic1,27.5641506683257
Plekhh1,27.473741565847735
Hsbp1,27.42988965154176
Nudt11,27.368584354005293
Sephs2,27.36007193112556
Ywhae,27.224549351170356
Jup,27.216414457038187
Id1,27.18706617323692
Foxo4,27.16244893104335
Slc26a2,27.092335266697685
Cdkn1a,27.049849112376368
Ubqln2,27.041437169573527
H2afy,27.030026761924713
Galm,27.014849024200434
Psma7,26.91309141056552
Lamp2,26.87895965845063
Cbx1,26.87354152222829
Pcgf5,26.871798218430907
F2,26.80840604276942
P4hb,26.787661162864026
Tuba4a,26.718466064526456
Rps27,26.660537780996943
Wbp5,26.61358116515939
Lrp10,26.601600410450903
Ndufb6,26.5489365314521
Slc31a1,26.537927359651032
Lima1,26.51860187057753
Gaa,26.506811000803655
Slc16a13,26.474813225126738
Ssb,26.414695119752956
Rab1a,26.35957598387768
Gucd1,26.347200991202996
Atpif1,26.338663692639347
Commd9,26.304370998989782
Arhgef16,26.272789412055104
Uqcr10,26.253661293268483
Smarce1,26.246738163135102
Noct,26.21135479706269
Stxbp2,26.187970495202364
Rps25,26.148039501920753
Crabp1,26.10654752142654
Ndn,26.106161268268792
Eps8l2,26.058689706885893
Snx8,26.05247613664531
Klhl2,26.044745850735634
1700019B21Rik,25.992427640636446
Ap2a2,25.951970286776156
Mydgf,25.89447652425729
Tfpi,25.70557295481198
Tmem41b,25.646400491074473
Synj1,25.627034052208
Prdx6,25.603878291323067
Cd55,25.517698528782887
Mras,25.474874998360445
Atp6v0a1,25.3903323785974
Tspan6,25.301191445231343
Ndufa4,25.296757546798297
Ddc,25.262138179472434
Sh3d19,25.244664425050455
Atp6ap2,25.199260191048072
Atp5k,25.13207334750325
Fam21,25.127871713840477
Ndufb10,25.087763017396277
Phlda2,25.07593972755655
Nid2,25.051566133735413
Fam64a,24.977093053799283
Fubp1,24.940127718587892
Ube2i,24.855823265660888
Bco1,24.841720011904492
Cpn1,24.829493786428703
Gss,24.81473896578015
As3mt,24.794880986737148
Tmem63b,24.784886798720716
Rps6ka1,24.747265156637745
Map1b,24.678004593262596
Leap2,24.66153517437727
Rps10,24.645480629485807
Col4a2,24.638154040775756
Rap1gap2,24.627682775939615
Slc12a7,24.596767762278358
Ndufa6,24.565684861089462
Ddb1,24.5395226736602
Prps1,24.53267124006129
Dmxl1,24.487582347367557
Atp6v0d1,24.445895780536603
Rhpn2,24.444410745254725
Dap,24.441915385373967
Rps9,24.40037038748738
Slc9a6,24.350178638343955
Rpl34,24.319217858369374
BC025446,24.240515159064984
Emc7,24.2342635925532
Rabac1,24.162641038017004
Arhgef5,24.16123384719791
Habp2,24.158078736584105
Tead2,24.1349176125888
Hsp90aa1,24.09741757530826
Mien1,24.087502842494008
AI464131,24.07737239217228
2010107E04Rik,24.060189473120083
Cox6b1,24.057642713678725
Optn,24.040271538742434
Rragc,24.03074975781214
Scp2,23.981210649644172
Plbd1,23.970131018793793
H2afv,23.895030327560768
Ndufa5,23.876263495835857
Plxnb2,23.818535663430314
Mogat2,23.738074534942147
Slc26a6,23.730793813514957
Tmem144,23.693778651020352
Abcc4,23.661208395209858
Arcn1,23.613705398254677
Tmem9b,23.58336847500349
Acy1,23.54833720553612
Fau,23.545097452870014
Fam134b,23.47760994710248
Nmral1,23.401595576037007
Haus7,23.387771516004275
Trim6,23.38465110767434
mt-Nd4,23.36621447580334
Mtus1,23.328455947581542
Pmm2,23.297544921755883
Raly,23.29271182648357
Pgm3,23.282599226947102
Ncl,23.270436373773478
Cd9,23.266674368455273
B4galt5,23.265166125165702
Apoc2,23.219667557454006
Pdcd6ip,23.18176178483863
Ruvbl2,23.17980633592508
Slc22a23,23.178669412556026
