,score
Muc13,59.75325375752472
Glud1,59.73734116985679
Rpl3,59.69052095173881
Tuba1b,59.689671718368686
Abca3,59.585381509592565
Rpl13a,59.30910262449786
Timd2,59.05117344774109
Tmem120a,58.68362097505981
Slc25a4,58.23299460141186
Igsf23,58.230208919759754
Ehd1,58.20671829785928
Erh,58.198343607719075
Asl,58.155609041616096
Oaz1,58.137701447458184
Fam162a,58.08030583597313
Hebp1,57.686612751497854
Slc40a1,57.63330648400761
Pgam1,57.36988078874436
Hsd17b2,57.3209480266657
Vps35,57.18851265165884
Aqp11,57.1580643627918
Rhoc,57.11444523881394
Krt18,57.084787224345675
Glul,57.06003894601524
Gnb2l1,56.81427923847535
Fkbp3,56.630682975550066
Epb41l3,56.604733973369044
Atp6v1b2,56.411315108970285
Glmp,56.16287372087624
Fscn1,55.51384587935653
Rplp2,55.35440806188909
Hadh,55.3071216526009
Reep5,55.2116746407319
Pth1r,55.19099556299361
Col4a1,55.08218220994591
Eps8,55.015925011831634
Klf9,54.81353732237189
Gnas,54.80909545383555
Arpc1b,54.61512346322771
Selt,54.5020876041606
Gjb1,54.48344787281029
Ninj1,54.47860418003816
Rps17,54.42621410629887
Tex264,54.31456474591001
Zdhhc12,54.27129708921502
Ddx39b,54.18808960644747
Rasgrp2,53.949928633639864
Tbrg1,53.70855168907296
Tmem256,53.634107928871366
Tm4sf5,53.632037212998654
U2af1,53.62561815030219
Acox1,53.276668657774934
Mbl2,53.09357072076122
Rps12,52.834618665197596
Rab17,52.80434043772654
Sfmbt2,52.66564710538301
Acot13,52.6014539705302
Evi5,52.574508724513635
Hnrnpc,52.55403550634261
Twf1,52.46471192820828
Stard4,52.33255347923283
mt-Co2,52.27036084643229
Abcc2,52.20631408038863
Cox7a2,52.14301887406826
Prdx2,52.12922327463806
Slc25a15,52.010456993134724
Scarb1,51.902228523679604
Btf3,51.675236323203286
Stmn1,51.5919140707741
Hsd17b11,51.504698231161974
Srsf7,51.449223758601384
Slc16a3,51.44097141318239
Nasp,51.40642951766375
Tmsb4x,51.339801222016625
Ccnd2,51.27623156557852
Sypl,51.257769572180244
Lamtor4,51.23994281262931
Sms,51.19519716766294
Atp6v1c1,51.116328848653595
Ap1b1,51.07635633776164
Fkbp11,51.006059250860986
Etfb,50.94709076241089
Sparc,50.83715295321371
Plin3,50.74666467585767
Dhx32,50.737719332386426
Rpl27a,50.62549085172853
Cox17,50.59181714845203
Galk1,50.40591805395742
Cmtm4,50.230749011293085
Krt8,50.222432421142656
Tmem51,50.07309240052526
Bex2,49.94957495428686
Qprt,49.905650635153116
Hmga2,49.80254581330791
Thnsl2,49.699399996171714
Acot1,49.58673614062699
Dpp7,49.57602169248466
Pigyl,49.54960188942458
Hmgb2,49.33415683949767
Xlr4b,49.32630890594804
Cdkn2a,49.30198619156978
Rbpms2,49.203933913942166
Mpp1,49.03266547054757
Pcbp4,48.97701630042786
Cdk4,48.92834854805377
Cst3,48.73924566406318
Srsf3,48.652465874505324
Klb,48.48630368169847
mt-Nd1,48.44946970480274
Ltbr,48.43845018869755
Marcks,48.315196457079914
Pttg1ip,48.227181967079815
Lpcat3,47.944158596814766
Bri3,47.75782537987955
Lect2,47.56799965772743
AI662270,47.559848351755505
Srsf2,47.201925307068166
Minos1,47.15990731840747
Atp6v1d,47.04454089751445
Cald1,46.997425664950775
Sod1,46.87172822268192
Atp6v1f,46.570963285971
S100a13,46.54839218081036
Eif4a1,46.50758619561469
Tmem97,46.4577821973372
Npc1,46.430270422200444
Pdpn,46.344757800083485
Cdhr2,46.32079997886859
Lasp1,46.27657590149055
Cnn3,46.2289324152197
Eif1,46.14896042645126
Dhcr24,46.12055550222867
Sumo1,46.11227214899402
Rps3a1,46.086671426421255
Siva1,46.07625638530505
Npc2,46.00058522005518
Rpl24,45.977077493311874
Eif1ax,45.94811634692214
Carhsp1,45.73681952750852
Ifi27l2b,45.66217187721204
Pebp1,45.533885014968085
Creb3,45.4930703207868
Trp53,45.424622004908024
Swt1,45.38494415499815
Cul7,45.3718856491563
Sox11,45.371612381970955
Mest,45.34561790116267
Rpn1,45.085584157262126
Cbx1,44.94346165271653
Hspb1,44.86872662247468
Bend7,44.79815012867464
Uqcr11,44.790669459926825
Basp1,44.757864888637855
mt-Nd2,44.73492536470172
Sec11c,44.66933246039598
Ap1m2,44.66689390234772
Lpgat1,44.49140482113207
Rps14,44.379239183741134
Tmem82,44.34172708904371
mt-Cytb,44.121516848397526
Gjb2,44.10336108509658
Bnip3l,44.101624644365224
Uqcrh,44.06375381467095
Pacsin2,43.95582037309665
Abcd3,43.81973537502657
Uqcr10,43.77671864228873
0610040J01Rik,43.75435653380619
Gab1,43.752764756429016
Surf4,43.54951654564604
Pdap1,43.54057391587954
Slc3a2,43.472212717584924
Cnbp,43.45918713523189
Rbmxl1,43.34913834361156
H2afy,43.33938004711951
Fcgrt,43.327054150297776
Prtg,43.278296893986465
Pafah2,43.229130258063535
Tpp1,43.202013633166736
Ihh,43.06519586783818
Sat1,42.96327282201319
Erich4,42.87568886029284
Mif,42.812405238178705
Sgpl1,42.714826037830925
AI413582,42.68774463596269
Slc25a10,42.66064839519761
Slco4c1,42.622233251838466
Aass,42.37448294352524
Dad1,42.32916633625255
Mirg,42.298367064524584
Plpp2,42.24223315700605
Ndufa6,42.16537673140339
Golga4,42.153935978392035
Id1,42.12026212240716
Trip12,41.98925995947952
Pepd,41.98289398251578
Nudt11,41.8801993456598
Pcgf5,41.844845116509234
Gss,41.77956676288552
Cdkn1a,41.7601847736798
Prlr,41.74394323567551
Dsg2,41.724068732297546
Tuba4a,41.5886664813524
Tpt1,41.45512015898063
Rps15,41.40876507710379
Soat1,41.40866368053547
Edf1,41.321721639431885
Tuba1c,41.25059974136852
Tnks2,41.183923515169454
Arl3,41.17200075880832
Clns1a,41.12800867440807
Tmem160,41.05351438248125
Iqgap2,40.99087917145348
Mdk,40.98836503144083
Hpn,40.95186687542224
Rpl22l1,40.92130578184412
Aldh18a1,40.87125889748735
Ppp1r21,40.79168890251732
Ubqln2,40.74634406231805
Dctpp1,40.6886936785502
Foxo4,40.65606515904185
Tlcd1,40.65122607961306
Eps8l2,40.64823850733183
Tmem63b,40.51614950587626
Ndufb6,40.44234590893406
Akr7a5,40.37231428574893
Lsr,40.17826742921319
Col4a2,40.14896087477634
Grn,39.868358345574215
Apex1,39.63907588845946
Ap2a2,39.63569577071174
Dnajc3,39.58004736508278
Rragc,39.56039102267832
Cideb,39.505739341119
Hkdc1,39.36471208978123
Pcdh1,39.307368316574006
Tspan6,39.15280961996124
Ddb1,39.127963538490384
Wbp5,39.04370563891256
Fam21,39.01470801997093
Ywhae,38.99560736397216
Ssb,38.96435007414451
Usp51,38.83530247377839
Rps9,38.83116172567717
BC025446,38.80934998301632
Hsbp1,38.74686000595302
Smarce1,38.58483444120616
B4galt5,38.50587300042185
Dkc1,38.49079415485912
Mydgf,38.46788540222116
Vps29,38.451011789548474
Ndufa4,38.44314680723221
Snx27,38.417292167994624
Myo5b,38.37826603211441
Cox6b1,38.17125335138493
Fubp1,38.1481837507195
Slc12a7,38.11045546471338
Scp2,38.06249269534627
