,score
Hdac10,0.6433249204606747
Gjc1,0.6420382816120276
Snrpg,0.6326769947853979
Ywhag,0.6304801500172416
Rrp1,0.6272543496479179
Fam229b,0.6226442768455865
Mbnl2,0.6139901080401473
Mrpl35,0.608574241709697
Lyn,0.5977100521081898
Shroom1,0.5827614300626126
4930556M19Rik-1,0.5727498153548191
Acp1,0.5661682170116029
Cd63,0.5586318117244875
Smim24,0.5570814216587362
Nt5c,0.5556940930002501
Thtpa,0.5514001575085309
Pttg1,0.5441170826920204
Ube2s,0.5428670360328025
Gltscr2,0.5422834205383974
Rab11b,0.5380078805022851
Gm43672,0.5357077903443932
Eva1b,0.5335033934360458
Stx19,0.5270382422692251
Hist1h2ap,0.5174933810122958
Phxr4,0.5163076882788511
Ankrd44,0.5146026189373601
Fstl1,0.5117293981564479
Lnx1,0.5045814416725067
Rnf11,0.5028890942533161
Adrm1,0.5021382601204128
Arl6ip4,0.4928558490797865
Gm10031,0.48906311969685934
Zfp207,0.48299101724622706
Dynlrb1,0.4802196236524763
Zfp507,0.4737279604513496
Eci1,0.4678970557425045
Ube2b,0.45627525107698036
Zdhhc2,0.4538938428830815
Sar1a,0.4451724710255083
Akr1a1,0.4272559839052362
Tm2d1,0.42160558751982097
Gm16286,0.4118158786671376
Apoa2,0.39674548097531
Vdac2,0.39538456883058964
Myo3b,0.39440935188365245
Nek3,0.39134104166994427
Tmem33,0.39023091354807105
Sms,0.37618364661477677
Crebzf,0.37134703904028954
Sys1,0.3651060264473481
Fkbp1a,0.3606967568937286
Dsn1,0.35908481523998764
Ptar1,0.35057488547124716
Dctpp1,0.348718025414416
Atp5k,0.33458367148926144
Slc38a2,0.3328706709432341
Kcnk6,0.3292216937719612
Zfp961,0.3242527114880852
Ighmbp2,0.3177308928504619
Syngr2,0.29914720190892535
Tdrkh,0.2983122953486634
Lca5,0.29442679600848737
Ttll4,0.2921774616152612
Sept7,0.283539032533473
Polr2m,0.27925384605834586
Guk1,0.27842439895248855
Gm12860,0.25828404678644445
2700060E02Rik,0.2569151358332037
Cltc,0.2538615057761429
Idh3g,0.25061170238359204
Rnf181,0.24412236313636218
Hnrnpdl,0.24191341569109212
Ncapg,0.24186769505032335
Dnm1l,0.2406433815887048
Atp6v0b,0.22666799301833146
4732490B19Rik,0.22663744524359247
Tprgl,0.22621424356735761
2810408A11Rik,0.21345216534143255
Acnat2,0.21091665547183489
Atp6v1g1,0.20804830372616967
Kif22,0.20761690071175115
Cldn1,0.2038433905075493
Fastkd1,0.19945545531609846
Slc26a11,0.19282044065893772
Gpr173,0.18259180948681528
Calu,0.18101549569047332
Wdr70,0.177875200888703
Xrn2,0.17087281213775185
Rad51ap1,0.16836178683141068
Gemin7,0.16367064846654136
Pcbd1,0.15429697185703925
Card19,0.14773362233885334
Strap,0.14214525351226237
Tm7sf2,0.1396620601361195
2310043L19Rik,0.13369659888089677
Stat5b,0.12921071977724918
Clpp,0.12483896034693677
Nkx2-6,0.12480862364000975
Mrm1,0.1117784176473071
Pygm,0.11043701959994613
Idh3b,0.10567118310489566
Kbtbd7,0.10294878663754885
Gspt1,0.09899698199535885
Uqcc3,0.0959560578308818
Pbdc1,0.08976575307007872
Cc2d2a,0.0774587762000392
Ak2,0.07580696312695179
Fam206a,0.07235406996717919
Slc37a4,0.06311906988615446
0610011F06Rik,0.06256215620041836
Arglu1,0.05283399817874518
Nono,0.04660275270128139
Pced1a,0.04524617601169362
Crb3,0.04024201248697427
Ube3a,0.03306315065395263
Eif3l,0.025958627469246934
Ubl5,0.025321683633740967
Kifc2,0.025280606163107153
Ctbp1,0.02109292479349027
Arl1,0.020987296601181787
Xpnpep3,0.016029055309820725
Tab3,0.013083630131449468
Pigb,0.012210026616916697
Cdc6,0.006400688294418373
Sema4g,0.0032337327937137918
Ppp1r12b,0.0023003950043246953
Igfbpl1,-0.0010914564618641736
Numbl,-0.006029259466656029
Sdhaf4,-0.008690698707843142
Gimap9,-0.014140855504990828
Ppa2,-0.014392021040916157
Rhbdd3,-0.027352064833045888
Pon2,-0.028089717934269925
Dda1,-0.029968143882946417
Gng12,-0.034881375420952564
Gnl3,-0.041712086678058535
Nras,-0.04522881536419918
Eif3b,-0.05676743867757111
Igsf9,-0.05941158474439719
Prkce,-0.05977405348150856
Ptp4a1,-0.0616879766456131
Klhl20,-0.06927052627997121
Gsk3b,-0.07899462850938288
Ubl4a,-0.07920491237832923
Kcnq2,-0.07946518067217018
Neurl1a,-0.08534104798501121
Cyb5d2,-0.08678632697525056
Tsc22d4,-0.09067707964936525
Srek1ip1,-0.0930855281366684
Ube2j2,-0.10011328011706323
Surf4,-0.10737234488559293
Rtn3,-0.11079619824636251
Mrpl43,-0.11662042723495605
Mrpl38,-0.13066808338150135
Tex9,-0.13303613325289948
Cuedc2,-0.13610327261310137
Lsm8,-0.1386447649013688
Rhbdl2,-0.13972542087905993
2700049A03Rik,-0.1510024051902757
Frs3,-0.15745852789181863
Cdca2,-0.16944428869619454
4932411K12Rik,-0.17122252754892642
Gm26520,-0.18790731062918958
Srm,-0.193581722197133
Hmg20b,-0.19370770178787305
Fkbp14,-0.19480968454028588
Dlg3,-0.1955660272939995
2610001J05Rik,-0.20071576318263493
Rad51,-0.20196925418579736
Med30,-0.2025553125902904
Rprm,-0.21235840375137482
Krt83,-0.21302810022175608
Cfap45,-0.21330579094082563
Il6,-0.22409231009200695
Foxe1,-0.22982001320934137
Cryl1,-0.24479688305463382
Uqcrb,-0.24500850302990532
Aurka,-0.2472644566225905
Adam10,-0.24776040541286298
Gabarapl1,-0.2490176432183544
Tardbp,-0.25130355198369997
Saraf,-0.2546062971957758
1700096K18Rik,-0.2575288418489864
Tpd52l2,-0.2589872315343591
Fdx1,-0.2688229945669934
Trappc12,-0.27565044317924403
Gm4631,-0.27784652156382056
Trmt44,-0.27971684665416136
Ypel3,-0.2802871200295822
Mrpl40,-0.2831841341872343
Atxn7l2,-0.28717839201959283
Mtmr7,-0.2901572969149868
Fkbpl,-0.2915743359090627
Smim7,-0.2950623612102842
Nradd,-0.2951568847575318
Capn8,-0.29794981296893736
Lrig2,-0.3068436207452852
Zfp867,-0.30825543440744074
Pnisr,-0.31014301648904685
Tbca,-0.3120614034498777
Lamtor1,-0.3259440469480186
Ckm,-0.3271865070536791
Napa,-0.32791973566546795
Mttp,-0.3298891334598613
Maf1,-0.3333693418856573
Rsrc2,-0.3411001763347069
Zbtb26,-0.3427495621876716
Lage3,-0.34501762792382046
Gm10094,-0.34560286507091215
Lap3,-0.3466015693060662
Stat3,-0.34894827014734603
Zbtb40,-0.35242716606301655
Aup1,-0.35798402091862724
Rassf8,-0.36407172802712706
A330017A19Rik,-0.36587378880329
Polr3e,-0.369160563962984
Ccdc82,-0.3713702325443327
Plxna3,-0.37462734336559317
Lrrc61,-0.3775612362077404
Fam120aos,-0.3791791155165416
Lrp11,-0.38522150899740315
Arl2,-0.3970679658698626
AI480526,-0.3978417632078513
Champ1,-0.3978654929502234
Tsc22d1,-0.39912770245488044
Caprin1,-0.40412820597600646
Tcea1,-0.40593084616948555
Mtx3,-0.40712541891344056
Hmgn3,-0.41612179266511257
Cyth2,-0.4178107208236606
3110021N24Rik,-0.42390626097913897
6330416G13Rik,-0.42412266766395657
Mirt1,-0.42981985768900804
Cxcl10,-0.4394227103288031
Slc16a11,-0.4477245337536876
Mphosph9,-0.44908610301692214
Stat5a,-0.44982486432048074
Paqr4,-0.4521574031507002
Klhl26,-0.45217701355222933
Zc3h3,-0.4534903341684933
Snapc4,-0.47923060499724773
Zbtb37,-0.4822106904730282
Snrpb,-0.4842370248727243
Ufm1,-0.48429834665597254
Gm26609,-0.4881669177737467
Dhrs11,-0.48954842672058085
Ly75,-0.49699394961098337
Syn3,-0.4975221442703564
Ndufb8,-0.4980882699154013
Gm16548,-0.49836498710353305
Nfatc4,-0.4990091294632278
Ucp2,-0.516318342051727
Sdc2,-0.5183612214029781
Chmp3,-0.5201212390544316
Hnrnph1,-0.5237310671507847
Tigd5,-0.5244823528740016
Eif4g2,-0.52976681417106
Luc7l2,-0.5314863034880984
Rnmtl1,-0.533044173744293
Nek2,-0.5379591183191068
Pgd,-0.5412228234465275
Ctf1,-0.5419070478781209
Hmgn5,-0.5503286589148167
Mtbp,-0.5508089449344009
Naa20,-0.5558148013531595
Ddx3x,-0.5581460552940223
Csrnp2,-0.5631782890285683
Eif3d,-0.5646097655468663
Bbs7,-0.5651725382705798
Cdc42ep5,-0.5670740383587386
Med10,-0.5726086270963897
Ankrd49,-0.5781647597725802
Rap1b,-0.5799798804030809
Wnk1,-0.5860492413581346
Klf13,-0.5990353639877554
Spag7,-0.5995140262621755
Fancc,-0.6011194768544821
Gm26764,-0.6026136830435616
Eif4h,-0.6073644118976322
Tm2d2,-0.6084995253120415
Immp1l,-0.6122837071350057
Ddrgk1,-0.616090254092599
L2hgdh,-0.6185055555767289
1810014B01Rik,-0.6281400259759778
Commd4,-0.6301356590189984
Adam30,-0.6390778882693771
Sec61a1,-0.641147862758614
Ap1s1,-0.644145096452235
Gstp1,-0.644365278725414
Gm19325,-0.6559920667295099
Fgfr3,-0.6573641021657902
Mdc1,-0.6582174307278836
Zfp623,-0.6600531284370856
Usp49,-0.6652677812286
Sema6a,-0.6665491542121741
Gcnt1,-0.689912745604188
